"날짜","종가","시가","고가","저가","변동 %"
"2021- 04- 01","131.42","130.98","131.55","130.91","0.37%"
"2021- 03- 31","130.94","131.30","131.30","130.91","-0.19%"
"2021- 03- 30","131.19","131.39","131.42","130.81","-0.13%"
"2021- 03- 29","131.36","131.64","131.98","131.30","-0.31%"
"2021- 03- 26","131.77","131.95","132.12","131.62","-0.28%"
"2021- 03- 25","132.14","132.12","132.30","131.89","0.04%"
"2021- 03- 24","132.09","132.02","132.28","131.81","0.13%"
"2021- 03- 23","131.92","131.48","132.09","131.44","-0.63%"
"2021- 03- 22","132.75","132.62","132.78","132.62","0.29%"
"2021- 03- 19","132.36","132.53","132.80","132.31","-0.06%"
"2021- 03- 18","132.44","133.14","133.14","132.23","-0.59%"
"2021- 03- 17","133.23","133.02","133.17","132.66","0.11%"
"2021- 03- 16","133.08","133.19","133.30","133.02","0.00%"
"2021- 03- 15","133.08","133.11","133.16","132.89","0.13%"
"2021- 03- 12","132.91","133.61","133.61","132.89","-0.61%"
"2021- 03- 11","133.72","133.58","134.09","133.52","0.07%"
