회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인/,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
골든센츄리,900280,2016-10-19,신규상장,외국주권,회사 본부 및 경영 컨설팅 서비스업,케이맨 제도,유안타증권(주),0.2,"3,500","27,666,664",트랙터용 휠 및 타이어,"29,800,000"
인텔리안테크,189300,2016-10-18,신규상장,주권,통신 및 방송 장비 제조업,대한민국,한국투자증권(주),500,"19,000","27,550,000","해상용 위성통신 안테나, 해상용 위성방송 수신안테나","7,165,110"
에이치시티,072990,2016-10-17,신규상장,주권,기타 과학기술 서비스업,대한민국,미래에셋증권 주식회사,500,"17,000","19,319,820",기술검사서비스,"4,579,934"
잉글우드랩,950140,2016-10-14,신규상장,주식예탁증권,회사 본부 및 경영 컨설팅 서비스업,미국,하나증권주식회사,0.25,"6,000","25,200,000",기초화장품(화장품 제조),"17,366,154"
앤디포스,238090,2016-10-12,신규상장,주권,플라스틱제품 제조업,대한민국,미래에셋증권 주식회사,500,"14,500","60,900,000","TSP용 양면 테이프, 윈도우 필름","15,068,965"
수산아이앤티,050960,2016-10-11,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,삼성증권(주),500,"11,500","19,550,000","공유단말접속관리서비스, 보안솔루션 등","6,751,000"
미투온,201490,2016-10-10,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,미래에셋증권(주),500,"3,800","27,210,690",소셜 카지노 게임,"29,961,122"
화승엔터프라이즈,241590,2016-10-04,신규상장,주권,회사 본부 및 경영 컨설팅 서비스업,대한민국,한국투자증권(주),500,"15,000","117,600,000",,"26,929,479"
에스엠로보틱스,252940,2016-09-30,신규상장,주권,"인형,장난감 및 오락용품 제조업",대한민국,KB증권(주),500,-,-,스크린승마시뮬레이터,"2,075,000"
케이비제10호스팩,250930,2016-09-29,신규상장,주권,금융 지원 서비스업,대한민국,케이비투자증권(주),100,"2,000","10,000,000",기업인수합병,"5,210,000"
유쎌,252370,2016-09-29,신규상장,주권,기타 화학제품 제조업,대한민국,해당없음,500,-,-,바이오셀룰로오스 마스크팩,"1,200,000"
모두투어리츠,204210,2016-09-22,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,교보증권(주),"5,000","6,000","14,100,000","호텔 부동산 취득, 관리, 개량 및 처분","7,826,815"
엘에스전선 아시아,229640,2016-09-22,신규상장,주권,회사 본부 및 경영 컨설팅 서비스업,대한민국,"한국투자증권(주),하나증권주식회사",500,"8,000","80,960,904",,"30,624,879"
유니테크노,241690,2016-09-20,신규상장,주권,자동차 신품 부품 제조업,대한민국,한국투자증권(주),500,"10,300","15,450,000",자동차 엔진파워트레인/모터 부품 제조 및 조립,"5,963,760"
하나금융8호스팩,250060,2016-09-08,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","12,000,000",기업인수합병,"6,402,000"
엠에프엠코리아,251960,2016-09-08,신규상장,주권,편조의복 제조업,대한민국,한화투자증권(주),"5,000",-,-,"남녀 및 유아용의 외의, 내의 및 기타 의복","600,000"
교보비엔케이스팩,242040,2016-09-07,신규상장,주권,금융 지원 서비스업,대한민국,"교보증권(주),(주)비엔케이투자증권",100,"2,000","12,000,000",기업인수합병,"7,110,000"
자이글,234920,2016-09-06,신규상장,주권,가정용 기기 제조업,대한민국,"케이비투자증권(주),하나증권주식회사",500,"11,000","49,280,000",적외선 가열 조리기,"13,530,910"
헝셩그룹,900270,2016-08-18,신규상장,외국주권,회사 본부 및 경영 컨설팅 서비스업,홍콩,신한투자증권 주식회사,무액면,"3,600","72,000,000",자회사 제품 : 아동용 완구 및 아동복 등,"80,000,000"
피엔에이치테크,239890,2016-08-16,신규상장,주권,기초 화학물질 제조업,대한민국,한국투자증권(주),500,-,-,"OLED완성체, OLED중간체, Pd촉매","2,000,000"
제이에스피브이,250300,2016-08-10,신규상장,주권,기타 전기장비 제조업,대한민국,해당없음,100,-,-,태양광모듈제조,"23,121,707"
에코마케팅,230360,2016-08-08,신규상장,주권,광고업,대한민국,한국투자증권(주),100,"35,000","38,500,000","온라인, 모바일 광고 종합대행업","8,128,571"
티케이씨,191600,2016-08-05,신규상장,주권,전자부품 제조업,대한민국,KB증권(주),500,-,-,"전장 PCB( 오디오, 정션박스 등)","2,600,000"
팍스넷,038160,2016-08-01,신규상장,주권,기타 정보 서비스업,대한민국,한국투자증권(주),500,"5,200","14,389,800","금융솔루션, 증권정보, 광고","11,077,521"
두올　　　　　　,016740,2016-07-29,신규상장,주권,자동차 신품 부품 제조업,대한민국,미래에셋증권(주),"2,500","8,500","62,050,000",시트 커버 및 시트 원단,"17,755,500"
링크제니시스,219420,2016-07-29,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,하나증권(주),100,-,-,"소프트웨어 테스트 및 생산정보 자동화 (MAT, XCOM, XGEM)","2,027,300"
엔지스테크널러지,208860,2016-07-28,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,교보증권(주),500,"10,000","4,670,000","Nav-Link 솔루션, BringGo 어플리케이션 등","3,127,180"
우리손에프앤지,073560,2016-07-27,신규상장,주권,축산업,대한민국,미래에셋증권 주식회사,500,"2,210","40,247,481","양돈업, 도축업","61,157,490"
디오메디칼,212310,2016-07-26,신규상장,주권,의료용 기기 제조업,대한민국,신한투자증권(주),500,-,-,척추용 임플란트 등,"2,015,340"
에스케이씨에스,224020,2016-07-25,신규상장,주권,플라스틱제품 제조업,대한민국,해당없음(기술특례상장),500,-,-,,"2,700,000"
지노믹트리,228760,2016-07-19,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,키움증권(주),500,-,-,암 분자진단 제품/ 유전체분석,"2,185,140"
제노텍,066830,2016-07-18,신규상장,주권,기초 의약물질 및 생물학적 제제 제조업,대한민국,미래에셋증권(주),500,-,-,"원료의약품, 합성유전자, 체외진단 분석기용 시약","4,930,286"
장원테크,174880,2016-07-15,신규상장,주권,통신 및 방송 장비 제조업,대한민국,신한투자증권 주식회사,500,"17,500","26,250,000",스마트폰 및 태블릿PC Bracket,"6,045,000"
대유위니아,071460,2016-07-14,신규상장,주권,가정용 기기 제조업,대한민국,신영증권(주),500,"6,800","51,000,000","김치냉장고(스탠드형, 뚜껑형), 에어컨, 프리미엄 냉장고 등","24,111,530"
한국자산신탁,123890,2016-07-13,신규상장,주권,기타 금융업,대한민국,"신한투자증권 주식회사,대신증권(주)",500,"10,300","281,162,654","부동산 신탁 서비스, REITs","85,000,000"
시냅스엠,246830,2016-07-13,신규상장,주권,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",대한민국,엔에이치투자증권(주),500,-,-,"OVP서비스, UGC서비스, OTT서비스","1,311,610"
인프라웨어테크놀러지,247300,2016-07-08,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,키움증권(주),"5,000",-,-,"플랫폼, 보안솔루션","408,430"
피앤씨테크,237750,2016-07-04,신규상장,주권,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",대한민국,케이비투자증권(주),500,"10,200","27,030,000",배전자동화단말장치,"6,496,600"
로스웰,900260,2016-06-30,신규상장,외국주권,회사 본부 및 경영 컨설팅 서비스업,홍콩,신한투자증권 주식회사,무액면,"3,200","96,000,000","CAN Control Gateway, CAN기능모듈, BCM 차체제어모듈","90,781,250"
에스엘에스,246250,2016-06-29,신규상장,주권,기타 과학기술 서비스업,대한민국,하나증권(주),500,-,-,"의약품 품질검사, 생동성 시험 등","5,812,103"
해성디에스,195870,2016-06-24,신규상장,주권,전자부품 제조업,대한민국,엔에이치투자증권주식회사,"5,000","12,000","48,000,000",반도체 패키지용 Substrate,"17,000,000"
씨앤에스링크,245450,2016-06-24,신규상장,주권,통신 및 방송 장비 제조업,대한민국,하이투자증권(주),500,-,-,"내비게이션, LTE Router, 블랙박스","1,039,960"
녹십자랩셀,144510,2016-06-23,신규상장,주권,"그외 기타 전문, 과학 및 기술 서비스업",대한민국,"하나증권주식회사,케이프투자증권주식회사",500,"18,500","37,000,000","세포치료제, 검체검사서비스, 제대혈은행","10,554,054"
에스티팜,237690,2016-06-23,신규상장,주권,의약품 제조업,대한민국,"한국투자증권(주),유진투자증권(주)",500,"29,000","135,256,000",원료의약품,"18,484,400"
이비테크,208850,2016-06-22,신규상장,주권,기타 전기장비 제조업,대한민국,아이비케이투자증권(주),"1,000",-,-,전자가속기 제조 및 전자선조사서비스,"2,256,250"
한국4호스팩,240540,2016-06-22,신규상장,주권,금융 지원 서비스업,대한민국,한국투자증권(주),100,"2,000","10,000,000",기업인수합병,"5,500,000"
