시장구분,회사명,신고서제출일,수요예측일정,청약일정,납입일,확정공모가,공모금액(백만원),상장예정일,상장주선인/
,,,~ 2022-06-03,~ 2022-06-10,,,,,
코스닥 상장추진,하나금융22호스팩,2022-04-18,   2022-05-11,   2022-05-17,2022-05-20,"2,000","10,000",2022-05-26,하나증권주식회사
,,,~ 2022-05-12,~ 2022-05-18,,,,,
코스닥 상장추진,가온칩스,2022-04-07,   2022-05-02,   2022-05-11,2022-05-16,"14,000","28,000",2022-05-20,대신증권㈜
,,,~ 2022-05-03,~ 2022-05-12,,,,,
코스닥 상장추진,대명에너지,2022-04-05,   2022-04-27,   2022-05-03,2022-05-09,"15,000","37,500",2022-05-16,"한국투자증권㈜,삼성증권㈜"
,,,~ 2022-04-28,~ 2022-05-04,,,,,
코스닥 상장추진,벨로크,2022-04-04,   2022-07-07,   2022-07-12,2022-07-15,"2,000","8,000",2022-07-22,IBK투자증권㈜
,,,~ 2022-07-08,~ 2022-07-13,,,,,
유가증권 상장추진,마스턴프리미어리츠,2022-04-01,   2022-05-02,   2022-05-12,2022-05-17,"5,000","59,300",2022-05-31,삼성증권㈜
,,,~ 2022-05-03,~ 2022-05-13,,,,,
코스닥 상장추진,상상인제3호스팩,2022-03-23,   2022-04-14,   2022-04-19,2022-04-22,"2,000","9,000",2022-04-29,㈜상상인증권
,,,~ 2022-04-15,~ 2022-04-20,,,,,
코스닥 상장추진,포바이포,2022-03-22,   2022-04-14,   2022-04-19,2022-04-22,"17,000","30,174",2022-04-28,미래에셋증권 주식회사
,,,~ 2022-04-15,~ 2022-04-20,,,,,
코스닥 상장추진,신영스팩7호,2022-03-22,   2022-04-13,   2022-04-18,2022-04-21,"2,000","8,400",2022-04-28,신영증권㈜
,,,~ 2022-04-14,~ 2022-04-19,,,,,
코스닥 상장추진,키움제6호스팩,2022-02-25,   2022-03-23,   2022-03-28,2022-03-31,"2,000","6,400",2022-04-07,키움증권㈜
,,,~ 2022-03-24,~ 2022-03-29,,,,,
코스닥 상장추진,신한제9호스팩,2022-02-25,   2022-04-12,   2022-04-18,2022-04-21,"2,000","8,000",2022-04-27,신한투자증권 주식회사
,,,~ 2022-04-13,~ 2022-04-19,,,,,
코스닥 상장추진,유진스팩8호,2022-02-21,   2022-03-17,   2022-03-22,2022-03-25,"2,000","10,000",2022-03-31,유진투자증권㈜
,,,~ 2022-03-18,~ 2022-03-23,,,,,
코스닥 상장추진,세아메카닉스,2022-02-11,   2022-03-10,   2022-03-15,2022-03-18,"4,400","29,260",2022-03-24,신한투자증권 주식회사
,,,~ 2022-03-11,~ 2022-03-16,,,,,
코스닥 상장추진,미래에셋비전스팩1호,2022-02-11,   2022-04-05,   2022-04-11,2022-04-14,"2,000","11,700",2022-04-21,미래에셋증권 주식회사
,,,~ 2022-04-06,~ 2022-04-12,,,,,
코스닥 상장추진,공구우먼,2022-02-10,   2022-03-07,   2022-03-14,2022-03-17,"20,000","22,400",2022-03-23,미래에셋증권 주식회사
,,,~ 2022-03-08,~ 2022-03-15,,,,,
코스닥 상장추진,유일로보틱스,2022-01-28,   2022-02-24,   2022-03-07,2022-03-11,"10,000","21,500",2022-03-18,한국투자증권㈜
,,,~ 2022-02-25,~ 2022-03-08,,,,,
코스닥 상장추진,지투파워,2022-01-26,   2022-03-17,   2022-03-22,2022-03-25,"16,400","14,514",2022-04-01,"한국투자증권㈜,KB증권㈜"
,,,~ 2022-03-18,~ 2022-03-23,,,,,
코스닥 상장추진,모아데이타,2022-01-25,   2022-02-21,   2022-02-25,2022-03-03,"20,000","16,000",2022-03-10,하나증권주식회사
,,,~ 2022-02-22,~ 2022-02-28,,,,,
