"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 07- 17","20,781.0","21,224.0","21,666.0","20,751.0","3.17K","-2.09%"
"2022- 07- 16","21,224.0","20,820.0","21,590.0","20,477.0","3.40K","1.96%"
"2022- 07- 15","20,816.0","20,582.0","21,190.0","20,375.7","3.59K","1.16%"
"2022- 07- 14","20,578.0","20,246.0","20,880.0","19,647.0","6.06K","1.64%"
"2022- 07- 13","20,246.0","19,310.5","20,282.7","18,926.8","12.00K","4.84%"
"2022- 07- 12","19,310.5","19,945.0","20,038.2","19,243.9","6.78K","-3.18%"
"2022- 07- 11","19,945.0","20,854.6","20,865.2","19,876.0","6.61K","-4.36%"
"2022- 07- 10","20,854.6","21,575.8","21,590.1","20,678.0","2.88K","-3.34%"
"2022- 07- 09","21,575.8","21,600.0","21,967.0","21,335.5","2.20K","-0.11%"
"2022- 07- 08","21,600.0","21,620.0","22,405.0","21,198.0","11.60K","-0.09%"
"2022- 07- 07","21,620.0","20,557.1","21,809.0","20,253.0","5.60K","5.17%"
"2022- 07- 06","20,557.1","20,169.0","20,665.6","19,765.2","4.32K","1.92%"
"2022- 07- 05","20,169.0","20,224.0","20,723.0","19,290.0","4.45K","-0.27%"
"2022- 07- 04","20,224.0","19,308.8","20,318.0","19,056.6","3.55K","4.74%"
