(단위 : 천원),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
회사명,종목코드,상장일,매출액(수익),,,,,영업이익,,,,,당기순이익,,,,
,,,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년
루닛,328130,2022-07-21,"198,403","1,430,042","6,638,999","13,865,732",0,"-11,594,851","-20,942,737","-45,661,474","-48,611,906",0,"-46,968,466","-83,731,620","-73,637,185","-37,298,311",0
바스칸바이오제약,354390,2022-07-20,0,"19,765,507","23,129,443","26,797,640",0,0,"-684,936","419,333","261,165",0,0,"-309,213","369,459","167,673",0
HPSP,403870,2022-07-15,"25,114,953","61,174,375","91,752,312","159,336,323",0,"9,943,657","24,792,911","45,212,381","85,174,462",0,"8,264,119","17,658,332","35,343,560","66,005,615",0
대신밸런스제12호스팩,426670,2022-07-14,0,0,0,0,0,0,0,0,"-79,419",0,0,0,0,"1,554",0
와이씨켐,112290,2022-07-14,"62,501,063","60,759,972","66,430,134","82,350,140",0,"4,954,052","4,164,159","2,236,050","5,314,562",0,"1,120,950","2,505,931","-813,867","4,164,612",0
코난테크놀로지,402030,2022-07-07,"12,370,760","14,001,472","17,849,096","15,388,168",0,"-526,105","956,333","2,240,099","-4,040,890",0,"-774,658","1,487,678","1,893,973","-3,276,841",0
넥스트칩,396270,2022-07-01,"3,689,089","10,382,892","24,469,249","12,869,167",0,"-13,408,408","-13,521,889","-13,472,883","-27,399,489",0,"-13,316,320","-13,495,869","-21,607,666","-27,429,342",0
삼성스팩6호,425290,2022-06-30,0,0,0,0,0,0,0,0,"-38,126",0,0,0,0,"66,206",0
엔에이치스팩23호,422040,2022-06-28,0,0,0,0,0,0,0,0,"-40,809",0,0,0,0,"10,256",0
보로노이,310210,2022-06-24,0,"5,977,452","14,773,913","9,747,827",0,"-45,988,131","-21,927,258","-8,742,412","-14,320,987",0,"-45,923,654","-29,972,175","-13,485,931","-16,386,451",0
레이저쎌,412350,2022-06-24,0,"3,878,755","9,682,052","6,000,775",0,0,"-1,869,940","-796,543","-5,033,964",0,0,"-7,665,266","-8,053,718","-4,102,656",0
교보12호스팩,421800,2022-06-24,0,0,0,0,0,0,0,0,"-46,683",0,0,0,0,"54,405",0
위니아에이드,377460,2022-06-23,"310,357,700","418,527,072","486,454,668","438,843,100",0,"13,249,566","31,502,574","34,435,724","22,250,216",0,"9,644,565","24,895,406","24,919,142","15,835,358",0
케이비제21호스팩,424140,2022-06-23,0,0,0,0,0,0,0,0,"-61,456",0,0,0,0,"-132,820",0
